byline,headline,summary,time,url
,Graduation Gift Ideas,"Help a graduate in your life get a head start with these great gift ideas, selected with help from Wirecutter.",,https://www.nytimes.com/interactive/2018/smarter-living/gifts-for-grads-guide-2018.html
,,,,
By JEFFREY GETTLEMAN,Where a Taboo Leads to the Deaths of Young Women,"In western Nepal, women are banished from their homes every month when they get their periods. They are considered polluted, and many die as a result.",,https://www.nytimes.com/2018/06/19/world/asia/nepal-women-menstruation-period.html
By RUTH LA FERLA 4:08 PM ET,The Glamorous Grandmas of Instagram,A look at the subversive cadre of women over 60 prove that “old” is not what it used to be.,4:08 PM ET,https://www.nytimes.com/2018/06/20/style/instagram-grandmas.html
By HILARIE M. SHEETS,Warhol at the Whitney: From Myth to Man,The curator of the Whitney’s Andy Warhol retrospective offers details of the exhibition — more intimate than usual — for the first time.,,https://www.nytimes.com/2018/06/19/arts/design/warhol-at-the-whitney-from-myth-to-man.html
By RONI CARYN RABIN 2:05 PM ET,A Study on Drinking That They Wanted to Call ‘Cheers’,Buried in a new N.I.H. report are disturbing examples of coordination between scientists and the alcohol industry on a study that could have changed America’s drinking habits.,2:05 PM ET,https://www.nytimes.com/2018/06/18/health/nih-alcohol-study.html
By JIM DWYER,Giuliani Promised a Surprise. Comey Delivered One.,"Rudolph W. Giuliani’s statements before the 2016 election have led senators to ask James B. Comey, the F.B.I. director, if a pipeline exists between the bureau and the president’s lawyer.",,https://www.nytimes.com/2018/06/19/nyregion/giuliani-fbi-comey-clinton.html
By THE NEW YORK TIMES,9 Ways to Get the Most Out of Your Times Subscription,Nine tips from the people who know The Times best: our reporters and editors.,,https://www.nytimes.com/2017/04/03/nytnow/how-to-get-the-most-out-of-your-new-york-times-subscription.html
,Instagram Allows Longer Videos in Challenge to YouTube,,,https://www.nytimes.com/2018/06/20/technology/instagram-videos.html
,"Amazon, Berkshire Hathaway and JPMorgan Name Health C.E.O.",,,https://www.nytimes.com/2018/06/20/health/amazon-berkshire-hathaway-jpmorgan-atul-gawande.html
,Disney Raises Offer for 21st Century Fox in Bidding War,,,https://www.nytimes.com/2018/06/20/business/dealbook/disney-comcast-21st-century-fox.html
,It’s Almost Summer. Finally.,Start your summer planning with our new limited-run newsletter. The weekly guide will spotlight New York City’s coolest summer activities. Food and drink included.,,https://www.nytimes.com/2018/05/02/nyregion/summer-nyc-things-to-do.html
